x,y
272.0,425.0
264.26987,448.26987
289.94376,455.0
316.89053,454.4364
341.0,446.65186
333.58536,421.37805
316.2384,400.9288
298.4137,380.81598
273.69852,374.47794
249.72597,385.27405
231.8559,405.2219
215.79716,426.80426
205.24365,451.57996
197.94669,477.51535
195.17181,504.33908
199.8724,530.454
215.89816,551.89813
238.57452,566.0298
264.39944,573.2332
291.21262,575.4913
318.13358,575.11884
344.28873,569.432
369.46402,559.87225
393.7385,548.1265
417.0425,534.55853
438.41138,518.12445
458.58398,500.265
478.15048,481.71677
496.1521,461.63803
513.7468,441.20612
530.88776,420.3903
547.7338,399.3327
563.9245,377.76733
580.1047,356.1938
596.2848,334.6203
611.6748,312.48782
626.1052,289.71747
639.76465,266.47073
651.8245,242.35089
663.419,218.00438
674.56067,193.45433
677.0,207.0625
678.077,234.00291
679.0,260.95203
679.0126,287.91885
679.38196,314.88324
679.75134,341.8475
680.0,368.81274
680.0,395.77966
679.1265,422.72235
677.6307,449.64774
676.1348,476.573
674.87244,503.50717
674.34375,530.46893
673.6804,557.42694
672.76685,584.3784
671.94586,611.3319
671.60876,638.29675
671.2717,665.26154
671.0,692.2267
671.0,719.1936
671.0,746.1605
674.55505,772.77527
684.0,798.0
